# Configuracion:
# Concentracion g/m^3_=_12100.0
# C_Vs_to_Am_M_A/Vsm_=_27341912153.153923
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_301351.90968955006
# 
Resultados:
# tau_ns_=_(3.45+/-0.14)e+01
# dphi_rad_=_6.35+/-0.00
# SAR_W/g_=_64.76+/-2.62
# Hc_kA/m_=_6.86+/-0.18
# Mr_A/m_=_40.77+/-0.29
# Magnetizacion_max_emu/g_=_12.80+/-0.08
# Suceptibilidad_a_M=0_=_(7.865+/-0.142)e-03

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_150dA_100Mss_bobN1Eliautoclave0006.txt		20.00	40.52	7.17	57041.50	155.69	3.013345e+05	2.853096e+01	6.352147e+00	68.54	36.481169	4646	7.517e-03
300kHz_150dA_100Mss_bobN1Eliautoclave0007.txt		20.00	40.80	7.13	57041.50	156.74	3.013345e+05	2.873111e+01	6.351817e+00	68.69	36.305381	4646	7.637e-03
300kHz_150dA_100Mss_bobN1Eliautoclave0008.txt		20.00	41.14	7.22	57041.50	155.45	3.013345e+05	2.852771e+01	6.353119e+00	69.50	36.996830	4646	7.620e-03
300kHz_150dA_100Mss_bobN1Eliautoclave0009.txt		20.00	41.14	7.17	57041.50	155.68	3.013345e+05	2.857619e+01	6.351723e+00	68.23	36.256738	4646	7.649e-03
300kHz_150dA_100Mss_bobN1Eliautoclave0010.txt		20.00	41.23	7.08	57041.50	156.34	3.013345e+05	2.871242e+01	6.350849e+00	67.68	35.791942	4646	7.724e-03
300kHz_150dA_100Mss_bobN1Eliautoclave0011.txt		20.00	41.09	7.02	57041.50	155.95	3.013994e+05	2.866435e+01	6.350053e+00	66.79	35.369600	4645	7.749e-03
300kHz_150dA_100Mss_bobN1Eliautoclave0012.txt		20.00	41.08	7.07	57041.50	155.48	3.013345e+05	2.857401e+01	6.351534e+00	68.03	36.155060	4646	7.747e-03
300kHz_150dA_100Mss_bobN1Eliautoclave0013.txt		20.00	41.04	6.96	57041.50	155.12	3.013345e+05	2.856114e+01	6.350842e+00	67.32	35.787698	4646	7.915e-03
300kHz_150dA_100Mss_bobN1Eliautoclave0014.txt		20.00	41.17	7.06	57041.50	154.12	3.013345e+05	2.833273e+01	6.352078e+00	68.00	36.444307	4646	7.691e-03
300kHz_150dA_100Mss_bobN1Eliautoclave0015.txt		20.00	41.02	6.95	57041.50	154.52	3.013345e+05	2.840909e+01	6.349914e+00	66.04	35.295757	4646	7.857e-03
