# 251003_11:48:06.515598
t	CH1	CH2
0.000000e+00	7.964052e-03	-3.458151e-01
1.000000e-08	-4.092890e-03	-5.710992e-01
2.000000e-08	2.848083e-03	-8.846085e-01
3.000000e-08	-5.408286e-03	-1.166945e+00
4.000000e-08	1.103817e-03	-1.505736e+00
5.000000e-08	-8.743913e-03	-1.769369e+00
6.000000e-08	9.789996e-03	-1.990570e+00
7.000000e-08	3.500124e-02	-2.253654e+00
8.000000e-08	8.560098e-02	-2.548943e+00
9.000000e-08	-8.086810e-02	-2.968893e+00
1.000000e-07	1.219247e-02	-3.388392e+00
1.100000e-07	-5.537073e-02	-3.570520e+00
1.200000e-07	-2.148807e-02	-3.903609e+00
1.300000e-07	-1.076994e-01	-4.098313e+00
1.400000e-07	1.412298e-01	-4.305211e+00
1.500000e-07	-2.516170e-02	-4.468315e+00
1.600000e-07	-2.879660e-02	-4.915202e+00
1.700000e-07	1.717320e-01	-5.077265e+00
1.800000e-07	-1.606582e-01	-5.484730e+00
1.900000e-07	1.143076e-01	-5.779526e+00
2.000000e-07	-1.055924e-01	-5.974573e+00
2.100000e-07	-2.729397e-02	-6.358948e+00
2.200000e-07	8.236210e-02	-6.591494e+00
2.300000e-07	-9.795123e-02	-6.875135e+00
2.400000e-07	1.376872e-01	-7.231948e+00
2.500000e-07	-7.656338e-02	-7.406022e+00
2.600000e-07	5.224634e-02	-7.791045e+00
2.700000e-07	-2.233230e-02	-8.032523e+00
2.800000e-07	-5.833670e-02	-8.318313e+00
2.900000e-07	7.144049e-02	-8.560848e+00
3.000000e-07	-9.647520e-02	-8.804101e+00
3.100000e-07	1.074309e-01	-9.116764e+00
3.200000e-07	-5.965468e-02	-9.286178e+00
3.300000e-07	4.587743e-02	-9.591495e+00
3.400000e-07	-1.453070e-02	-9.800920e+00
3.500000e-07	-1.962653e-02	-1.001252e+01
3.600000e-07	1.594175e-02	-1.029671e+01
3.700000e-07	-4.860196e-02	-1.049631e+01
3.800000e-07	5.328647e-02	-1.071979e+01
3.900000e-07	-3.364495e-02	-1.092836e+01
4.000000e-07	5.161871e-02	-1.120244e+01
4.100000e-07	-3.113583e-02	-1.137342e+01
4.200000e-07	1.487118e-02	-1.167557e+01
4.300000e-07	-2.404273e-02	-1.184666e+01
4.400000e-07	1.743414e-03	-1.207673e+01
4.500000e-07	-4.916788e-03	-1.227823e+01
4.600000e-07	7.687598e-04	-1.245521e+01
4.700000e-07	1.233037e-02	-1.266458e+01
4.800000e-07	6.045101e-04	-1.282560e+01
4.900000e-07	1.064163e-02	-1.302400e+01
5.000000e-07	-1.267838e-02	-1.322403e+01
5.100000e-07	3.282012e-04	-1.338042e+01
5.200000e-07	-1.503955e-02	-1.358181e+01
5.300000e-07	6.788758e-03	-1.369923e+01
5.400000e-07	-4.783604e-03	-1.388505e+01
5.500000e-07	1.397715e-02	-1.404503e+01
5.600000e-07	-2.643565e-03	-1.417149e+01
5.700000e-07	5.590061e-03	-1.435125e+01
5.800000e-07	-6.081228e-03	-1.452921e+01
5.900000e-07	-1.225723e-03	-1.463350e+01
6.000000e-07	-5.058327e-03	-1.474874e+01
6.100000e-07	-1.200006e-03	-1.487710e+01
6.200000e-07	1.734531e-03	-1.497934e+01
6.300000e-07	2.540534e-03	-1.505618e+01
6.400000e-07	3.160146e-03	-1.518237e+01
6.500000e-07	-1.172791e-03	-1.528874e+01
6.600000e-07	-1.427178e-03	-1.538392e+01
6.700000e-07	-3.749591e-03	-1.547716e+01
6.800000e-07	-2.850080e-04	-1.552239e+01
6.900000e-07	-1.541562e-03	-1.564492e+01
7.000000e-07	2.053387e-03	-1.570760e+01
7.100000e-07	1.417057e-03	-1.577234e+01
7.200000e-07	1.889162e-03	-1.586498e+01
7.300000e-07	-2.062496e-03	-1.587815e+01
7.400000e-07	-2.166710e-03	-1.597132e+01
7.500000e-07	-2.638929e-03	-1.601134e+01
7.600000e-07	-9.633293e-04	-1.602452e+01
7.700000e-07	9.031486e-04	-1.600608e+01
7.800000e-07	3.369493e-04	-1.612916e+01
7.900000e-07	1.586212e-03	-1.612818e+01
8.000000e-07	1.290194e-05	-1.610821e+01
8.100000e-07	-1.042718e-04	-1.612029e+01
8.200000e-07	-2.747141e-03	-1.615026e+01
8.300000e-07	-2.886495e-03	-1.614091e+01
8.400000e-07	-2.147569e-03	-1.611973e+01
8.500000e-07	-7.789341e-04	-1.610968e+01
8.600000e-07	1.122919e-03	-1.605710e+01
8.700000e-07	-1.282763e-03	-1.605652e+01
8.800000e-07	3.829253e-04	-1.605360e+01
8.900000e-07	-2.062626e-03	-1.598377e+01
9.000000e-07	2.995359e-04	-1.593121e+01
9.100000e-07	-1.497856e-03	-1.587708e+01
9.200000e-07	-1.354712e-03	-1.582452e+01
9.300000e-07	-7.406875e-04	-1.578242e+01
9.400000e-07	-1.353401e-03	-1.569666e+01
9.500000e-07	-5.261527e-04	-1.566345e+01
9.600000e-07	-2.693225e-03	-1.554974e+01
9.700000e-07	-1.833367e-03	-1.547806e+01
9.800000e-07	-1.389762e-03	-1.539082e+01
