# 251003_11:33:53.261739
t	CH1	CH2
0.000000e+00	7.698976e-03	-3.895525e-01
1.000000e-08	-6.198197e-03	-7.038946e-01
2.000000e-08	4.054894e-03	-9.274288e-01
3.000000e-08	-5.906534e-03	-1.273789e+00
4.000000e-08	-1.008617e-03	-1.576629e+00
5.000000e-08	-7.491773e-03	-1.822759e+00
6.000000e-08	1.679959e-02	-2.041111e+00
7.000000e-08	7.632571e-02	-2.345475e+00
8.000000e-08	1.402141e-02	-2.694370e+00
9.000000e-08	-5.175062e-02	-3.105994e+00
1.000000e-07	-1.047191e-02	-3.474282e+00
1.100000e-07	-4.068135e-02	-3.652212e+00
1.200000e-07	-6.191642e-02	-3.989025e+00
1.300000e-07	-3.839952e-02	-4.189550e+00
1.400000e-07	1.598930e-01	-4.348948e+00
1.500000e-07	-1.453544e-01	-4.644215e+00
1.600000e-07	1.353522e-01	-4.979550e+00
1.700000e-07	-8.489282e-04	-5.242631e+00
1.800000e-07	-7.095097e-02	-5.640160e+00
1.900000e-07	9.611196e-02	-5.875287e+00
2.000000e-07	-1.727196e-01	-6.198025e+00
2.100000e-07	9.424057e-02	-6.474315e+00
2.200000e-07	-4.089418e-02	-6.685370e+00
2.300000e-07	2.596066e-03	-7.064263e+00
2.400000e-07	8.676546e-02	-7.336816e+00
2.500000e-07	-8.301614e-02	-7.629154e+00
2.600000e-07	9.909703e-02	-7.957322e+00
2.700000e-07	-1.228295e-01	-8.177973e+00
2.800000e-07	6.193804e-02	-8.474260e+00
2.900000e-07	-3.996658e-02	-8.682637e+00
3.000000e-07	-5.351821e-03	-9.009095e+00
3.100000e-07	6.449272e-02	-9.190974e+00
3.200000e-07	-5.976252e-02	-9.491708e+00
3.300000e-07	7.116770e-02	-9.755818e+00
3.400000e-07	-7.253772e-02	-9.915289e+00
3.500000e-07	4.531271e-02	-1.023003e+01
3.600000e-07	-5.271829e-02	-1.043070e+01
3.700000e-07	2.010109e-02	-1.067374e+01
3.800000e-07	2.296807e-03	-1.088564e+01
3.900000e-07	4.897101e-03	-1.108426e+01
4.000000e-07	2.580963e-02	-1.136775e+01
4.100000e-07	-2.973444e-02	-1.154797e+01
4.200000e-07	1.581041e-02	-1.186110e+01
4.300000e-07	-3.434636e-02	-1.204366e+01
4.400000e-07	1.891180e-02	-1.226121e+01
4.500000e-07	-2.110736e-02	-1.244221e+01
4.600000e-07	2.074196e-02	-1.262118e+01
4.700000e-07	-6.085812e-03	-1.282111e+01
4.800000e-07	1.607786e-02	-1.303002e+01
4.900000e-07	-7.144685e-03	-1.319945e+01
5.000000e-07	-4.046733e-03	-1.336849e+01
5.100000e-07	-1.150420e-02	-1.355634e+01
5.200000e-07	-4.705465e-03	-1.372632e+01
5.300000e-07	1.922168e-03	-1.389414e+01
5.400000e-07	9.046815e-04	-1.405365e+01
5.500000e-07	9.301533e-03	-1.421052e+01
5.600000e-07	-1.290968e-03	-1.436987e+01
5.700000e-07	4.491503e-03	-1.452489e+01
5.800000e-07	-8.098784e-03	-1.464065e+01
5.900000e-07	-1.854398e-03	-1.478940e+01
6.000000e-07	-6.424783e-03	-1.490471e+01
6.100000e-07	2.614360e-03	-1.505213e+01
6.200000e-07	9.478209e-04	-1.511729e+01
6.300000e-07	3.026780e-03	-1.524310e+01
6.400000e-07	2.248578e-03	-1.533594e+01
6.500000e-07	1.396675e-03	-1.549321e+01
6.600000e-07	2.945289e-04	-1.554767e+01
6.700000e-07	-2.421711e-03	-1.562255e+01
6.800000e-07	1.735149e-04	-1.570478e+01
6.900000e-07	1.463843e-03	-1.584853e+01
7.000000e-07	3.513392e-03	-1.587420e+01
7.100000e-07	3.811035e-03	-1.595621e+01
7.200000e-07	3.142171e-03	-1.602985e+01
7.300000e-07	2.634598e-03	-1.608410e+01
7.400000e-07	2.781579e-03	-1.609521e+01
7.500000e-07	3.685917e-03	-1.615731e+01
7.600000e-07	3.886177e-03	-1.615892e+01
7.700000e-07	4.746333e-03	-1.618040e+01
7.800000e-07	6.031941e-03	-1.622205e+01
7.900000e-07	8.464885e-03	-1.627260e+01
8.000000e-07	7.925811e-03	-1.626466e+01
8.100000e-07	7.231980e-03	-1.628413e+01
8.200000e-07	7.712676e-03	-1.629569e+01
8.300000e-07	8.287971e-03	-1.629310e+01
8.400000e-07	9.237483e-03	-1.629498e+01
8.500000e-07	7.925568e-03	-1.623198e+01
8.600000e-07	7.000903e-03	-1.621145e+01
8.700000e-07	5.767694e-03	-1.616742e+01
8.800000e-07	4.949566e-03	-1.618581e+01
8.900000e-07	3.243068e-03	-1.613471e+01
9.000000e-07	2.286597e-03	-1.610307e+01
9.100000e-07	1.873894e-03	-1.599135e+01
9.200000e-07	2.058526e-03	-1.598769e+01
9.300000e-07	2.675330e-03	-1.590573e+01
9.400000e-07	2.198890e-03	-1.589095e+01
9.500000e-07	9.982325e-04	-1.578834e+01
9.600000e-07	6.341144e-04	-1.567208e+01
9.700000e-07	4.639863e-04	-1.560876e+01
9.800000e-07	-9.580870e-04	-1.547415e+01
9.900000e-07	-1.123588e-03	-1.538892e+01
1.000000e-06	-1.084140e-03	-1.531453e+01
1.010000e-06	-4.926886e-04	-1.514879e+01
1.020000e-06	5.585113e-04	-1.510297e+01
1.030000e-06	-8.434328e-04	-1.497871e+01
1.040000e-06	-1.253873e-03	-1.487248e+01
1.050000e-06	-1.804872e-03	-1.469723e+01
1.060000e-06	-1.414925e-03	-1.459727e+01
1.070000e-06	-2.335981e-03	-1.444240e+01
1.080000e-06	-2.410528e-03	-1.428508e+01
1.090000e-06	-2.435197e-03	-1.411563e+01
1.100000e-06	-1.319137e-03	-1.399923e+01
1.110000e-06	-2.025262e-03	-1.379982e+01
1.120000e-06	-3.357421e-03	-1.362792e+01
1.130000e-06	-2.426231e-03	-1.345308e+01
1.140000e-06	-2.493881e-03	-1.331358e+01
1.150000e-06	-2.345541e-03	-1.310671e+01
1.160000e-06	-2.716771e-03	-1.292771e+01
1.170000e-06	-2.257044e-03	-1.274671e+01
1.180000e-06	-2.597531e-03	-1.259771e+01
1.190000e-06	-3.061857e-03	-1.242024e+01
1.200000e-06	-3.878221e-03	-1.216989e+01
1.210000e-06	-4.572750e-03	-1.198026e+01
1.220000e-06	-3.283009e-03	-1.175563e+01
1.230000e-06	-2.498386e-03	-1.149600e+01
1.240000e-06	-2.363071e-03	-1.124240e+01
1.250000e-06	-3.502925e-03	-1.097832e+01
1.260000e-06	-3.723723e-03	-1.077892e+01
1.270000e-06	-3.173988e-03	-1.057927e+01
1.280000e-06	-3.770500e-03	-1.037726e+01
1.290000e-06	-4.989885e-03	-1.012358e+01
1.300000e-06	-4.143107e-03	-9.863452e+00
1.310000e-06	-4.299975e-03	-9.651419e+00
