# 251003_11:36:43.155202
t	CH1	CH2
0.000000e+00	5.873415e-03	-5.035552e-01
1.000000e-08	-4.474594e-03	-7.769445e-01
2.000000e-08	1.990958e-03	-1.042006e+00
3.000000e-08	-4.762635e-03	-1.367343e+00
4.000000e-08	-1.716039e-03	-1.642555e+00
5.000000e-08	-2.320923e-03	-1.883655e+00
6.000000e-08	2.298567e-02	-2.155788e+00
7.000000e-08	7.512602e-02	-2.411401e+00
8.000000e-08	-1.126702e-02	-2.749867e+00
9.000000e-08	-3.163470e-02	-3.200995e+00
1.000000e-07	-2.065279e-02	-3.494794e+00
1.100000e-07	-3.542614e-02	-3.756187e+00
1.200000e-07	-7.176594e-02	-4.031055e+00
1.300000e-07	2.036633e-02	-4.212077e+00
1.400000e-07	1.014039e-01	-4.420495e+00
1.500000e-07	-1.063739e-01	-4.735337e+00
1.600000e-07	1.578572e-01	-5.042125e+00
1.700000e-07	-4.607123e-02	-5.305312e+00
1.800000e-07	-1.199687e-02	-5.696305e+00
1.900000e-07	3.782162e-02	-5.936813e+00
2.000000e-07	-1.281573e-01	-6.268622e+00
2.100000e-07	9.282279e-02	-6.516388e+00
2.200000e-07	-5.174904e-02	-6.739312e+00
2.300000e-07	4.548331e-02	-7.126766e+00
2.400000e-07	4.195907e-02	-7.375365e+00
2.500000e-07	-4.165260e-02	-7.654200e+00
2.600000e-07	6.627804e-02	-7.968895e+00
2.700000e-07	-9.809508e-02	-8.210042e+00
2.800000e-07	6.608519e-02	-8.494311e+00
2.900000e-07	-4.907261e-02	-8.685308e+00
3.000000e-07	2.929148e-02	-9.032175e+00
3.100000e-07	3.422731e-02	-9.240552e+00
3.200000e-07	-2.530324e-02	-9.463680e+00
3.300000e-07	5.155140e-02	-9.757436e+00
3.400000e-07	-5.108783e-02	-9.936888e+00
3.500000e-07	4.254723e-02	-1.019975e+01
3.600000e-07	-4.441905e-02	-1.042163e+01
3.700000e-07	3.342843e-02	-1.065273e+01
3.800000e-07	-1.890114e-03	-1.085483e+01
3.900000e-07	2.274746e-02	-1.108286e+01
4.000000e-07	1.561602e-02	-1.132796e+01
4.100000e-07	-1.098045e-02	-1.155649e+01
4.200000e-07	1.058382e-02	-1.179012e+01
4.300000e-07	-1.776227e-02	-1.206221e+01
4.400000e-07	1.865609e-02	-1.221167e+01
4.500000e-07	-8.798246e-03	-1.243125e+01
4.600000e-07	2.606823e-02	-1.260022e+01
4.700000e-07	1.173350e-03	-1.281010e+01
4.800000e-07	2.164423e-02	-1.299060e+01
4.900000e-07	-2.749399e-03	-1.312802e+01
5.000000e-07	4.899779e-03	-1.332602e+01
5.100000e-07	-6.520418e-03	-1.349344e+01
5.200000e-07	4.478537e-03	-1.365441e+01
5.300000e-07	7.805457e-03	-1.382225e+01
5.400000e-07	1.126496e-02	-1.402038e+01
5.500000e-07	1.458667e-02	-1.412762e+01
5.600000e-07	6.292081e-03	-1.438454e+01
5.700000e-07	9.228243e-03	-1.447236e+01
5.800000e-07	-7.263174e-04	-1.456020e+01
5.900000e-07	3.998229e-03	-1.474499e+01
6.000000e-07	4.435393e-04	-1.486325e+01
6.100000e-07	8.943234e-03	-1.493759e+01
6.200000e-07	7.618636e-03	-1.510548e+01
6.300000e-07	1.101156e-02	-1.521872e+01
6.400000e-07	8.020383e-03	-1.528444e+01
6.500000e-07	5.595655e-03	-1.542073e+01
6.600000e-07	5.816563e-03	-1.552494e+01
6.700000e-07	4.774312e-03	-1.557719e+01
6.800000e-07	4.758856e-03	-1.563143e+01
6.900000e-07	4.874871e-03	-1.570652e+01
7.000000e-07	7.851609e-03	-1.582019e+01
7.100000e-07	8.467569e-03	-1.588193e+01
7.200000e-07	7.321061e-03	-1.592659e+01
7.300000e-07	5.538621e-03	-1.596013e+01
7.400000e-07	5.188808e-03	-1.597976e+01
7.500000e-07	5.700286e-03	-1.604286e+01
7.600000e-07	5.685788e-03	-1.614399e+01
7.700000e-07	5.617883e-03	-1.611709e+01
7.800000e-07	7.542126e-03	-1.617762e+01
7.900000e-07	8.840269e-03	-1.618867e+01
8.000000e-07	6.593506e-03	-1.622973e+01
8.100000e-07	4.949347e-03	-1.618067e+01
8.200000e-07	4.437392e-03	-1.616875e+01
8.300000e-07	4.581832e-03	-1.620982e+01
8.400000e-07	6.416670e-03	-1.620019e+01
8.500000e-07	6.710295e-03	-1.617968e+01
8.600000e-07	7.114476e-03	-1.611662e+01
8.700000e-07	7.195315e-03	-1.613297e+01
8.800000e-07	6.458978e-03	-1.606343e+01
8.900000e-07	5.378583e-03	-1.602983e+01
9.000000e-07	3.495918e-03	-1.593923e+01
9.100000e-07	5.699885e-03	-1.589557e+01
9.200000e-07	5.602538e-03	-1.589343e+01
9.300000e-07	7.918015e-03	-1.578987e+01
9.400000e-07	6.678893e-03	-1.572711e+01
9.500000e-07	5.784283e-03	-1.564243e+01
9.600000e-07	6.112584e-03	-1.556923e+01
9.700000e-07	5.872644e-03	-1.549443e+01
9.800000e-07	4.658290e-03	-1.544922e+01
9.900000e-07	3.842155e-03	-1.528401e+01
1.000000e-06	4.718381e-03	-1.515075e+01
1.010000e-06	5.868683e-03	-1.505251e+01
1.020000e-06	7.245726e-03	-1.496865e+01
1.030000e-06	5.628224e-03	-1.483233e+01
1.040000e-06	4.872887e-03	-1.473715e+01
1.050000e-06	4.710700e-03	-1.459915e+01
1.060000e-06	4.930204e-03	-1.447493e+01
1.070000e-06	4.700642e-03	-1.431512e+01
1.080000e-06	3.997604e-03	-1.416922e+01
1.090000e-06	4.496653e-03	-1.398083e+01
1.100000e-06	5.736093e-03	-1.386243e+01
1.110000e-06	5.561055e-03	-1.367501e+01
1.120000e-06	4.410005e-03	-1.349405e+01
1.130000e-06	3.467937e-03	-1.333822e+01
1.140000e-06	3.867671e-03	-1.320825e+01
1.150000e-06	4.480238e-03	-1.301078e+01
1.160000e-06	3.682263e-03	-1.285136e+01
1.170000e-06	3.303760e-03	-1.261288e+01
1.180000e-06	3.457496e-03	-1.247338e+01
1.190000e-06	3.786974e-03	-1.225431e+01
1.200000e-06	3.498825e-03	-1.203237e+01
1.210000e-06	2.627058e-03	-1.183241e+01
1.220000e-06	3.200388e-03	-1.161130e+01
1.230000e-06	3.401542e-03	-1.134823e+01
1.240000e-06	3.117772e-03	-1.113657e+01
1.250000e-06	2.443608e-03	-1.093649e+01
1.260000e-06	2.635590e-03	-1.068399e+01
1.270000e-06	2.403290e-03	-1.050602e+01
1.280000e-06	2.404516e-03	-1.022328e+01
1.290000e-06	1.981503e-03	-9.970701e+00
1.300000e-06	1.362649e-03	-9.759099e+00
1.310000e-06	9.328818e-04	-9.558068e+00
1.320000e-06	9.436355e-04	-9.294938e+00
1.330000e-06	1.282148e-03	-9.043830e+00
